system_type	doc_id	REF	SYS	HYP	SRC	DA
abs	0	Anuradha Koirala and 425 young women and girls have been sleeping outdoors because of aftershocks . Pushpa Basnet and 45 children she cares for were forced to evacuate their residence . Seven other CNN Heroes and their organizations now assisting in relief efforts .	t5_out_large.txt	cnn heroes anuradha koirala and pushpa basu are helping earthquake survivors . koirala's hiv/aids hospice wall has crumbled .	DUMMY	0.2
abs	0	Anuradha Koirala and 425 young women and girls have been sleeping outdoors because of aftershocks . Pushpa Basnet and 45 children she cares for were forced to evacuate their residence . Seven other CNN Heroes and their organizations now assisting in relief efforts .	two_stage_rl_out.txt	anuradha koirala is the founder of maiti nepal and the 2010 cnn hero of the year . she has offered to take in 200 other girls orphaned by the disaster . the public has been warned not to use the main water line due to risk of cholera .	DUMMY	0.1
abs	0	Anuradha Koirala and 425 young women and girls have been sleeping outdoors because of aftershocks . Pushpa Basnet and 45 children she cares for were forced to evacuate their residence . Seven other CNN Heroes and their organizations now assisting in relief efforts .	unilm_out_v1.txt	Anuradha Koirala , the 2010 CNN Hero of the Year , has a rehab center in Kathmandu , Nepal . She has offered to take in 200 other girls orphaned by the disaster . Another CNN Hero , Pushpa Basnet , and 45 children she cares for are now living on the ground in a nearby field . `` I was not afraid that I was going to be killed	DUMMY	0.3
abs	0	Anuradha Koirala and 425 young women and girls have been sleeping outdoors because of aftershocks . Pushpa Basnet and 45 children she cares for were forced to evacuate their residence . Seven other CNN Heroes and their organizations now assisting in relief efforts .	unilm_out_v2.txt	two cnn heroes are among the earthquake survivors in kathmandu , nepal . anuradha koirala , who rescues victims of sex trafficking , has a rehabilitation center in kathmandu . pushpa basnet and the 45 children she cares for were forced to evacuate their residence .	DUMMY	0.5
ext	0	Anuradha Koirala and 425 young women and girls have been sleeping outdoors because of aftershocks . Pushpa Basnet and 45 children she cares for were forced to evacuate their residence . Seven other CNN Heroes and their organizations now assisting in relief efforts .	banditsumm_out.txt	-lrb- cnn -rrb- two cnn heroes are among the earthquake survivors in kathmandu , nepal . and they are struggling in the aftermath . anuradha koirala , who rescues victims of sex trafficking , has a rehabilitation center in kathmandu that is home to 425 young women and girls .	DUMMY	0.5
ext	0	Anuradha Koirala and 425 young women and girls have been sleeping outdoors because of aftershocks . Pushpa Basnet and 45 children she cares for were forced to evacuate their residence . Seven other CNN Heroes and their organizations now assisting in relief efforts .	bart_out_ext.txt	Two CNN Heroes are among the earthquake survivors in Kathmandu , Nepal . Anuradha Koirala , who rescues victims of sex trafficking , has a rehabilitation center that is home to 425 young women and girls . Pushpa Basnet and the 45 children she cares for were also forced to evacuate their residence . Several CNN Heroes have been assisting in relief efforts in Nepal .	DUMMY	0.6
ext	0	Anuradha Koirala and 425 young women and girls have been sleeping outdoors because of aftershocks . Pushpa Basnet and 45 children she cares for were forced to evacuate their residence . Seven other CNN Heroes and their organizations now assisting in relief efforts .	heter_graph_out.txt	( cnn ) two cnn heroes are among the earthquake survivors in kathmandu , nepal . anuradha koirala , who rescues victims of sex trafficking , has a rehabilitation center in kathmandu that is home to 425 young women and girls . the public has been warned not to use the main water line due to risk of cholera .	DUMMY	0.0
ext	0	Anuradha Koirala and 425 young women and girls have been sleeping outdoors because of aftershocks . Pushpa Basnet and 45 children she cares for were forced to evacuate their residence . Seven other CNN Heroes and their organizations now assisting in relief efforts .	matchsumm_out.txt	( cnn ) two cnn heroes are among the earthquake survivors in kathmandu , nepal . anuradha koirala , who rescues victims of sex trafficking , has a rehabilitation center in kathmandu that is home to 425 young women and girls . still , she has offered to take in 200 other girls orphaned by the disaster .	DUMMY	0.5
ext	0	Anuradha Koirala and 425 young women and girls have been sleeping outdoors because of aftershocks . Pushpa Basnet and 45 children she cares for were forced to evacuate their residence . Seven other CNN Heroes and their organizations now assisting in relief efforts .	neusumm_out.txt	Anuradha Koirala , who rescues victims of sex trafficking , has a rehabilitation center in Kathmandu that is home to 425 young women and girls . While her primary facility seems structurally unharmed , all of the children have been sleeping outdoors because of aftershocks , followed by a second earthquake on May 12 . The once-vibrant campus has gone from a place of safety and healing to one of uncertainty and worry . -LRB- CNN -RRB- Two CNN Heroes are among the earthquake survivors in Kathmandu , Nepal . And they are struggling in the aftermath .	DUMMY	0.2
ext	0	Anuradha Koirala and 425 young women and girls have been sleeping outdoors because of aftershocks . Pushpa Basnet and 45 children she cares for were forced to evacuate their residence . Seven other CNN Heroes and their organizations now assisting in relief efforts .	pnbert_out_bert_lstm_pn.txt	anuradha koirala , who rescues victims of sex trafficking , has a rehabilitation center in kathmandu that is home to 425 young women and girls . while her primary facility seems structurally unharmed , all of the children have been sleeping outdoors because of aftershocks , followed by a second earthquake on may 12 . still , she has offered to take in 200 other girls orphaned by the disaster .	DUMMY	0.5
ext	0	Anuradha Koirala and 425 young women and girls have been sleeping outdoors because of aftershocks . Pushpa Basnet and 45 children she cares for were forced to evacuate their residence . Seven other CNN Heroes and their organizations now assisting in relief efforts .	pnbert_out_bert_lstm_pn_rl.txt	anuradha koirala , who rescues victims of sex trafficking , has a rehabilitation center in kathmandu that is home to 425 young women and girls . while her primary facility seems structurally unharmed , all of the children have been sleeping outdoors because of aftershocks , followed by a second earthquake on may 12 . still , she has offered to take in 200 other girls orphaned by the disaster .	DUMMY	0.5
ext	0	Anuradha Koirala and 425 young women and girls have been sleeping outdoors because of aftershocks . Pushpa Basnet and 45 children she cares for were forced to evacuate their residence . Seven other CNN Heroes and their organizations now assisting in relief efforts .	pnbert_out_bert_tf_pn.txt	anuradha koirala , who rescues victims of sex trafficking , has a rehabilitation center in kathmandu that is home to 425 young women and girls . while her primary facility seems structurally unharmed , all of the children have been sleeping outdoors because of aftershocks , followed by a second earthquake on may 12 . still , she has offered to take in 200 other girls orphaned by the disaster .	DUMMY	0.5
ext	0	Anuradha Koirala and 425 young women and girls have been sleeping outdoors because of aftershocks . Pushpa Basnet and 45 children she cares for were forced to evacuate their residence . Seven other CNN Heroes and their organizations now assisting in relief efforts .	pnbert_out_bert_tf_sl.txt	anuradha koirala , who rescues victims of sex trafficking , has a rehabilitation center in kathmandu that is home to 425 young women and girls . while her primary facility seems structurally unharmed , all of the children have been sleeping outdoors because of aftershocks , followed by a second earthquake on may 12 . -lrb- cnn -rrb- two cnn heroes are among the earthquake survivors in kathmandu , nepal . and they are struggling in the aftermath .	DUMMY	0.5
ext	0	Anuradha Koirala and 425 young women and girls have been sleeping outdoors because of aftershocks . Pushpa Basnet and 45 children she cares for were forced to evacuate their residence . Seven other CNN Heroes and their organizations now assisting in relief efforts .	pnbert_out_lstm_pn_rl.txt	-lrb- cnn -rrb- two cnn heroes are among the earthquake survivors in kathmandu , nepal . and they are struggling in the aftermath . the public has been warned not to use the main water line due to risk of cholera . koirala 's group is relying on bottled water and is now rationing food . still , she has offered to take in 200 other girls orphaned by the disaster .	DUMMY	0.0
ext	0	Anuradha Koirala and 425 young women and girls have been sleeping outdoors because of aftershocks . Pushpa Basnet and 45 children she cares for were forced to evacuate their residence . Seven other CNN Heroes and their organizations now assisting in relief efforts .	refresh_out.txt	-LRB- CNN -RRB- Two CNN Heroes are among the earthquake survivors in Kathmandu , Nepal . Anuradha Koirala , who rescues victims of sex trafficking , has a rehabilitation center in Kathmandu that is home to 425 young women and girls . While her primary facility seems structurally unharmed , all of the children have been sleeping outdoors because of aftershocks , followed by a second earthquake on May 12 .	DUMMY	0.5
abs	1	Students from the University of Surrey discovered thousands of colonies . They submerged coins and notes in agar to accelerate growth pf bacteria . Most were harmless on the money , but one caused boils and spots . Previous studies have revealed MRSA bacteria on notes and coins .	bart_out.txt	The money was collected from students at the University of Surrey . Currency was submerged in agar - a substance that allows bacteria to grow quickly - and then monitored for three to four days . The students found thousands of bacteria colonies living on the sample of money . Most of the bacteria found on the coins studied was harmless . But MRSA and food poisoning bacteria have been found on money in previous studies . One ten pound note yielded Bacillus mycoides , which is common in soil , suggesting that someone was gardening before handling cash . The scientists found cases of staphylococcus aureus , which can cause boils and spots on the skin .	DUMMY	0.4545454545454545
abs	1	Students from the University of Surrey discovered thousands of colonies . They submerged coins and notes in agar to accelerate growth pf bacteria . Most were harmless on the money , but one caused boils and spots . Previous studies have revealed MRSA bacteria on notes and coins .	bottom_up_out.txt	thousands of bacteria colonies were discovered on banknotes and coins chosen at random from scientists ' pockets . the experiment , which involved treating the coins and notes in a substance that allows bacteria to grow quickly , highlights how dirty handling money can be . among the bacteria found on a ten pound note is bacillus mycoides .	DUMMY	0.0
abs	1	Students from the University of Surrey discovered thousands of colonies . They submerged coins and notes in agar to accelerate growth pf bacteria . Most were harmless on the money , but one caused boils and spots . Previous studies have revealed MRSA bacteria on notes and coins .	fast_abs_rl_out_rerank.txt	the money was collected from students at the university of surrey . the experiment allows bacteria to grow quickly . thousands of bacteria colonies were discovered on notes and coins chosen at random from scientists ' pockets . it was then submerged in agar - a substance that allows bacteria to grow quickly . thousands of bacteria colonies were discovered on banknotes and coins chosen at random from scientists ' pockets . students found thousands of bacteria living on their money .	DUMMY	0.5454545454545454
abs	1	Students from the University of Surrey discovered thousands of colonies . They submerged coins and notes in agar to accelerate growth pf bacteria . Most were harmless on the money , but one caused boils and spots . Previous studies have revealed MRSA bacteria on notes and coins .	presumm_out_abs.txt	thousands of bacteria colonies were discovered on banknotes and coins chosen at random from scientists ' pockets the experiment involved treating the coins in a substance that allows bacteria to grow quickly , highlights how dirty handling money can be among the bacteria found on a ten pound note is bacillus mycoides , which is harmless	DUMMY	0.09090909090909091
abs	1	Students from the University of Surrey discovered thousands of colonies . They submerged coins and notes in agar to accelerate growth pf bacteria . Most were harmless on the money , but one caused boils and spots . Previous studies have revealed MRSA bacteria on notes and coins .	presumm_out_ext_abs.txt	thousands of bacteria colonies were discovered on banknotes and coins chosen at random from scientists ' pockets the money was collected from students at the university of surrey it was then submerged in agar - a substance that allows bacteria to grow quickly - and then monitored for three to four days most of the colourful blooms and spots of bacteria was found to be harmless , money has been known to carry dangerous diseases	DUMMY	0.5454545454545454
abs	1	Students from the University of Surrey discovered thousands of colonies . They submerged coins and notes in agar to accelerate growth pf bacteria . Most were harmless on the money , but one caused boils and spots . Previous studies have revealed MRSA bacteria on notes and coins .	presumm_out_trans_abs.txt	thousands of bacteria colonies were discovered on banknotes and coins chosen at random from scientists ' pockets experiment involved treating the coins and notes in a substance that allows bacteria to grow quickly , highlights how dirty handling money can be most of the bacteria found on a ten pound note yielded bacillus mycoides , which is common in soil , suggesting that someone was gardening before handling cash	DUMMY	0.09090909090909091
abs	1	Students from the University of Surrey discovered thousands of colonies . They submerged coins and notes in agar to accelerate growth pf bacteria . Most were harmless on the money , but one caused boils and spots . Previous studies have revealed MRSA bacteria on notes and coins .	ptr_generator_out_pointer_gen_cov.txt	thousands of bacteria colonies were discovered on banknotes and coins chosen at random from scientists ’ pockets .the money was collected from students at the university of surrey .it was then submerged in agar - a substance that allows bacteria to grow quickly - and then monitored for three to four days .	DUMMY	0.09090909090909091
abs	1	Students from the University of Surrey discovered thousands of colonies . They submerged coins and notes in agar to accelerate growth pf bacteria . Most were harmless on the money , but one caused boils and spots . Previous studies have revealed MRSA bacteria on notes and coins .	semsim_out.txt	The money was collected from students at the University of Surrey . Currency was submerged in agar - a substance that allows bacteria to grow quickly . It was then submerged in the substance for three to four days . After the experiment , the cash was washed and returned to the students . Thousands of bacteria colonies were found living on the sample of money . Most of the bacteria found on the coins studied was harmless . But the scientists did find cases of staphylococcus aureus , which can cause boils and spots on the skin . Money has been known to carry dangerous diseases such as MRSA and food poisoning bacteria .	DUMMY	1.0
abs	1	Students from the University of Surrey discovered thousands of colonies . They submerged coins and notes in agar to accelerate growth pf bacteria . Most were harmless on the money , but one caused boils and spots . Previous studies have revealed MRSA bacteria on notes and coins .	t5_out_11B.txt	money was collected from students at the university of surrey . it was then submerged in agar - a substance that allows bacteria to grow quickly - and then monitored for three to four days . the most common type of bacteria they discovered living on our coinage was bacillus mycoides, which is harmless . but mrsa and food poisoning bacteria have been found on money in previous studies .	DUMMY	0.4545454545454545
abs	1	Students from the University of Surrey discovered thousands of colonies . They submerged coins and notes in agar to accelerate growth pf bacteria . Most were harmless on the money , but one caused boils and spots . Previous studies have revealed MRSA bacteria on notes and coins .	t5_out_base.txt	money collected from students at the university of surrey was submerged in agar - a substance that allows bacteria to grow quickly . it was then monitored for three to four days for colonies of bacteria . most of the bacteria found on the coins studied was harmless bacillus mycoides, which is common in soil . but mrsa and food poisoning bacteria have been found on money in previous studies .	DUMMY	0.4545454545454545
abs	1	Students from the University of Surrey discovered thousands of colonies . They submerged coins and notes in agar to accelerate growth pf bacteria . Most were harmless on the money , but one caused boils and spots . Previous studies have revealed MRSA bacteria on notes and coins .	t5_out_large.txt	thousands of bacteria colonies were discovered on banknotes and coins . notes and coins were chosen at random from scientists’ pockets . money was collected from students at the university of surrey . it was then submerged in agar and monitored for three to four days . most of the colourful blooms and spots of bacteria was harmless . but money has been known to carry dangerous diseases such as mrsa .	DUMMY	0.7272727272727273
abs	1	Students from the University of Surrey discovered thousands of colonies . They submerged coins and notes in agar to accelerate growth pf bacteria . Most were harmless on the money , but one caused boils and spots . Previous studies have revealed MRSA bacteria on notes and coins .	two_stage_rl_out.txt	thousands of bacteria colonies were discovered on banknotes and coins . the money was collected from students at the university of surrey . it was then submerged in agar - a substance that allows bacteria to grow quickly . the most common type of bacteria they discovered living on our coinage was bacillus mycoides , which is common in soil , suggesting that someone was gardening before handling cash .	DUMMY	0.2727272727272727
abs	1	Students from the University of Surrey discovered thousands of colonies . They submerged coins and notes in agar to accelerate growth pf bacteria . Most were harmless on the money , but one caused boils and spots . Previous studies have revealed MRSA bacteria on notes and coins .	unilm_out_v1.txt	The money was collected from students at the University of Surrey . It was then submerged in agar-a substance that allows bacteria to grow quickly . The students found thousands of bacteria colonies living on their money . Among the bacteria found on a ten pound note is Bacillus mycoides . It 's common in soil , so it 's likely someone was gardening before handling cash . While most	DUMMY	0.4545454545454545
abs	1	Students from the University of Surrey discovered thousands of colonies . They submerged coins and notes in agar to accelerate growth pf bacteria . Most were harmless on the money , but one caused boils and spots . Previous studies have revealed MRSA bacteria on notes and coins .	unilm_out_v2.txt	money was collected from students at the university of surrey . it was then submerged in agar-a substance that allows bacteria to grow quickly . students found thousands of bacteria colonies living on their money . most of the bacteria was found to be harmless , but money has been known to carry dangerous diseases .	DUMMY	0.4545454545454545
ext	1	Students from the University of Surrey discovered thousands of colonies . They submerged coins and notes in agar to accelerate growth pf bacteria . Most were harmless on the money , but one caused boils and spots . Previous studies have revealed MRSA bacteria on notes and coins .	banditsumm_out.txt	the experiment , which involved treating the coins and notes in a substance that allows bacteria to grow quickly , highlights how dirty handling money can be . thousands of bacteria colonies were discovered on notes and coins chosen at random from scientists ' pockets . the money was collected from students at the university of surrey .	DUMMY	0.36363636363636365
ext	1	Students from the University of Surrey discovered thousands of colonies . They submerged coins and notes in agar to accelerate growth pf bacteria . Most were harmless on the money , but one caused boils and spots . Previous studies have revealed MRSA bacteria on notes and coins .	bart_out_ext.txt	The money was collected from students at the University of Surrey . Currency was submerged in agar - a substance that allows bacteria to grow quickly - and then monitored for three to four days . The students found thousands of bacteria colonies living on the sample of money . Most of the bacteria found on the coins studied was harmless . But MRSA and food poisoning bacteria have been found on money in previous studies . One ten pound note yielded Bacillus mycoides , which is common in soil , suggesting that someone was gardening before handling cash . The scientists found cases of staphylococcus aureus , which can cause boils and spots on the skin .	DUMMY	0.4545454545454545
ext	1	Students from the University of Surrey discovered thousands of colonies . They submerged coins and notes in agar to accelerate growth pf bacteria . Most were harmless on the money , but one caused boils and spots . Previous studies have revealed MRSA bacteria on notes and coins .	heter_graph_out.txt	the experiment , which involved treating the coins and notes in a substance that allows bacteria to grow quickly , highlights how dirty handling money can be . thousands of bacteria colonies were discovered on notes and coins chosen at random from scientists ' pockets . it was then submerged in agar - a substance that allows bacteria to grow quickly - and then monitored for three to four days .	DUMMY	0.4545454545454545
ext	1	Students from the University of Surrey discovered thousands of colonies . They submerged coins and notes in agar to accelerate growth pf bacteria . Most were harmless on the money , but one caused boils and spots . Previous studies have revealed MRSA bacteria on notes and coins .	matchsumm_out.txt	thousands of bacteria colonies were discovered on banknotes and coins chosen at random from scientists ' pockets . the experiment , which involved treating the coins and notes in a substance that allows bacteria to grow quickly , highlights how dirty handling money can be . the money was collected from students at the university of surrey .	DUMMY	0.2727272727272727
ext	1	Students from the University of Surrey discovered thousands of colonies . They submerged coins and notes in agar to accelerate growth pf bacteria . Most were harmless on the money , but one caused boils and spots . Previous studies have revealed MRSA bacteria on notes and coins .	neusumm_out.txt	The experiment , which involved treating the coins and notes in a substance that allows bacteria to grow quickly , highlights how dirty handling money can be . Thousands of bacteria colonies were discovered on banknotes and coins chosen at random from scientists ' pockets . The students found thousands of bacteria colonies living on their money .	DUMMY	0.18181818181818182
ext	1	Students from the University of Surrey discovered thousands of colonies . They submerged coins and notes in agar to accelerate growth pf bacteria . Most were harmless on the money , but one caused boils and spots . Previous studies have revealed MRSA bacteria on notes and coins .	pnbert_out_bert_lstm_pn.txt	the experiment , which involved treating the coins in a substance that allows bacteria to grow quickly , highlights how dirty handling money can be . among the bacteria found on a ten pound note is bacillus mycoides -lrb- shown above -rrb- . it 's common in soil , so it 's likely someone was gardening before handling cash . the students found thousands of bacteria colonies living on their money . the money was collected from students at the university of surrey .	DUMMY	0.2727272727272727
ext	1	Students from the University of Surrey discovered thousands of colonies . They submerged coins and notes in agar to accelerate growth pf bacteria . Most were harmless on the money , but one caused boils and spots . Previous studies have revealed MRSA bacteria on notes and coins .	pnbert_out_bert_lstm_pn_rl.txt	thousands of bacteria colonies were discovered on banknotes and coins chosen at random from scientists ' pockets . the experiment , which involved treating the coins and notes in a substance that allows bacteria to grow quickly , highlights how dirty handling money can be . the money was collected from students at the university of surrey .	DUMMY	0.4545454545454545
ext	1	Students from the University of Surrey discovered thousands of colonies . They submerged coins and notes in agar to accelerate growth pf bacteria . Most were harmless on the money , but one caused boils and spots . Previous studies have revealed MRSA bacteria on notes and coins .	pnbert_out_bert_tf_pn.txt	thousands of bacteria colonies were discovered on notes and coins chosen at random from scientists ' pockets . this the bacteria found on one five pound note . the students found thousands of bacteria colonies living on their money . the money was collected from students at the university of surrey .	DUMMY	0.4545454545454545
ext	1	Students from the University of Surrey discovered thousands of colonies . They submerged coins and notes in agar to accelerate growth pf bacteria . Most were harmless on the money , but one caused boils and spots . Previous studies have revealed MRSA bacteria on notes and coins .	pnbert_out_bert_tf_sl.txt	thousands of bacteria colonies were discovered on banknotes and coins chosen at random from scientists ' pockets . the money was collected from students at the university of surrey . thousands of bacteria colonies were discovered on notes and coins chosen at random from scientists ' pockets . this the bacteria found on one five pound note .	DUMMY	0.4545454545454545
ext	1	Students from the University of Surrey discovered thousands of colonies . They submerged coins and notes in agar to accelerate growth pf bacteria . Most were harmless on the money , but one caused boils and spots . Previous studies have revealed MRSA bacteria on notes and coins .	pnbert_out_lstm_pn_rl.txt	thousands of bacteria colonies were discovered on banknotes and coins chosen at random from scientists ' pockets . the experiment , which involved treating the coins and notes in a substance that allows bacteria to grow quickly , highlights how dirty handling money can be . the students found thousands of bacteria colonies living on their money .	DUMMY	0.4545454545454545
ext	1	Students from the University of Surrey discovered thousands of colonies . They submerged coins and notes in agar to accelerate growth pf bacteria . Most were harmless on the money , but one caused boils and spots . Previous studies have revealed MRSA bacteria on notes and coins .	refresh_out.txt	Thousands of bacteria colonies were discovered on banknotes and coins chosen at random from scientists ' pockets . The experiment , which involved treating the coins and notes in a substance that allows bacteria to grow quickly , highlights how dirty handling money can be . The money was collected from students at the University of Surrey . It was then submerged in agar - a substance that allows bacteria to grow quickly - and then monitored for three to four days .	DUMMY	0.4545454545454545
abs	2	danilo this week agreed to join real madrid in the summer for £23million . transfer will take total raised from player sales to £440m since 2004 . james rodriguez, pepe and radamel falcao among those sold by porto . click here for all the latest real madrid news  .	bart_out.txt	Porto have made £ 440million from player sales in the last 11 years . Brazil right back Danilo will join Real Madrid in a deal worth £ 23million in the summer . 19 of the 29 players featured in the table below have South American backgrounds . James Rodriguez was signed for a small sum from Banfield before being sold on to Monaco three years later for nearly eight times the price .	DUMMY	0.5
abs	2	danilo this week agreed to join real madrid in the summer for £23million . transfer will take total raised from player sales to £440m since 2004 . james rodriguez, pepe and radamel falcao among those sold by porto . click here for all the latest real madrid news  .	bottom_up_out.txt	danilo will join real madrid in the summer in a deal worth # 23million . porto and brazil have won the last eight of this year 's champions league . rodriguez was sold on to monaco in 2004 champions league .	DUMMY	0.4
abs	2	danilo this week agreed to join real madrid in the summer for £23million . transfer will take total raised from player sales to £440m since 2004 . james rodriguez, pepe and radamel falcao among those sold by porto . click here for all the latest real madrid news  .	fast_abs_rl_out_rerank.txt	porto have now received a whopping # 440million from player sales . jose mourinho has made a habit of selling on players for huge profits . porto and brazil right back danilo will join real madrid in the summer . brazil 's close relationship with brazil have involved south americans . jose mourinho 's side are interested in the champions league .	DUMMY	0.3
abs	2	danilo this week agreed to join real madrid in the summer for £23million . transfer will take total raised from player sales to £440m since 2004 . james rodriguez, pepe and radamel falcao among those sold by porto . click here for all the latest real madrid news  .	presumm_out_abs.txt	porto have received # 440million from player sales in the last 11 years the portuguese champions have made a habit of selling on players for huge profits 19 of the 29 players featured in the table have south american backgrounds	DUMMY	0.1
abs	2	danilo this week agreed to join real madrid in the summer for £23million . transfer will take total raised from player sales to £440m since 2004 . james rodriguez, pepe and radamel falcao among those sold by porto . click here for all the latest real madrid news  .	presumm_out_ext_abs.txt	porto have received a whopping # 440million from player sales in the last 11 years the portuguese champions have made a habit of selling on players for huge profits 19 of the 29 players featured in the table below have south american backgrounds such as now-real madrid superstar james rodriguez	DUMMY	0.1
abs	2	danilo this week agreed to join real madrid in the summer for £23million . transfer will take total raised from player sales to £440m since 2004 . james rodriguez, pepe and radamel falcao among those sold by porto . click here for all the latest real madrid news  .	presumm_out_trans_abs.txt	james rodriguez is another player off the porto production line porto have reached the last eight of this year 's champions league they have won seven of a possible 10 league titles since 2004 click here for all the latest transfer news with our live updates	DUMMY	0.0
abs	2	danilo this week agreed to join real madrid in the summer for £23million . transfer will take total raised from player sales to £440m since 2004 . james rodriguez, pepe and radamel falcao among those sold by porto . click here for all the latest real madrid news  .	ptr_generator_out_pointer_gen_cov.txt	danilo will join real madrid in a deal worth £ 23million .danilo 's summer switch to real madrid , porto have now received a whopping £ 440million from player sales in the last 11 years .porto and brazil right back danilo will join real madrid in the summer .	DUMMY	0.3
abs	2	danilo this week agreed to join real madrid in the summer for £23million . transfer will take total raised from player sales to £440m since 2004 . james rodriguez, pepe and radamel falcao among those sold by porto . click here for all the latest real madrid news  .	semsim_out.txt	Porto have received £ 440million from player sales in the last 11 years . The Portuguese champions have made a habit of selling on stars for huge profits . Danilo will join Real Madrid in a deal worth £ 23million in the summer . Porto have reached the last eight of this year 's Champions League and have won seven of a possible 10 league titles since 2004 .	DUMMY	0.4
abs	2	danilo this week agreed to join real madrid in the summer for £23million . transfer will take total raised from player sales to £440m since 2004 . james rodriguez, pepe and radamel falcao among those sold by porto . click here for all the latest real madrid news  .	t5_out_11B.txt	porto have received £440million from player sales in the last 11 years . the majority of these deals have involved south americans . porto have won seven of a possible 10 league titles since 2004 .	DUMMY	0.0
abs	2	danilo this week agreed to join real madrid in the summer for £23million . transfer will take total raised from player sales to £440m since 2004 . james rodriguez, pepe and radamel falcao among those sold by porto . click here for all the latest real madrid news  .	t5_out_base.txt	porto have made a habit of selling on players for huge profits . 19 of the 29 players featured in the table below have south american backgrounds . james rodriguez is another player off the porto production line .	DUMMY	0.2
